Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/18,30/12/17,Atalanta,Cagliari,1,2,A,0,2,A,25,4,6,3,6,19,5,3,0,5,0,1
17/18,30/12/17,Benevento,Chievo,1,0,H,0,0,D,18,9,9,3,14,17,7,1,1,2,0,0
17/18,30/12/17,Bologna,Udinese,1,2,A,1,1,D,12,7,3,4,14,16,8,0,2,3,0,0
17/18,30/12/17,Fiorentina,Milan,1,1,D,0,0,D,18,8,6,4,11,12,2,5,1,1,0,0
17/18,30/12/17,Inter,Lazio,0,0,D,0,0,D,10,12,3,4,13,9,10,8,2,1,0,0
17/18,30/12/17,Roma,Sassuolo,1,1,D,1,0,H,21,15,4,5,13,12,7,4,1,2,0,0
17/18,30/12/17,Sampdoria,Spal,2,0,H,0,0,D,20,9,8,2,16,15,11,3,3,4,0,0
17/18,30/12/17,Torino,Genoa,0,0,D,0,0,D,17,3,6,1,25,23,8,3,1,3,0,0
17/18,30/12/17,Verona,Juventus,1,3,A,0,1,A,3,18,1,8,22,4,6,6,2,0,0,0
17/18,05/01/18,Chievo,Udinese,1,1,D,1,1,D,11,9,6,1,6,20,5,5,0,1,0,0
17/18,05/01/18,Fiorentina,Inter,1,1,D,0,0,D,23,13,4,4,9,11,7,5,2,3,0,0
17/18,06/01/18,Benevento,Sampdoria,3,2,H,0,1,A,16,13,4,6,10,9,6,7,1,1,0,1
17/18,06/01/18,Cagliari,Juventus,0,1,A,0,0,D,9,16,2,2,17,13,5,3,1,2,0,0
17/18,06/01/18,Genoa,Sassuolo,1,0,H,0,0,D,7,10,3,1,17,16,5,5,3,1,0,0
17/18,06/01/18,Milan,Crotone,1,0,H,0,0,D,26,8,9,2,17,16,14,0,2,2,0,0
17/18,06/01/18,Napoli,Verona,2,0,H,0,0,D,24,3,9,1,9,8,5,1,0,4,0,0
17/18,06/01/18,Roma,Atalanta,1,2,A,0,2,A,18,11,5,4,12,6,12,7,1,3,0,1
17/18,06/01/18,Spal,Lazio,2,5,A,2,4,A,13,15,4,7,8,14,9,4,2,3,0,0
17/18,06/01/18,Torino,Bologna,3,0,H,1,0,H,19,6,6,1,13,12,4,5,1,2,0,0
17/18,21/01/18,Atalanta,Napoli,0,1,A,0,0,D,9,12,3,3,10,13,8,7,0,2,0,0
17/18,21/01/18,Bologna,Benevento,3,0,H,1,0,H,8,4,6,1,11,15,5,3,4,2,0,0
17/18,21/01/18,Cagliari,Milan,1,2,A,1,2,A,12,16,3,6,23,17,5,8,5,4,1,1
17/18,21/01/18,Inter,Roma,1,1,D,0,1,A,17,7,7,1,13,13,6,5,2,0,0,0
17/18,21/01/18,Lazio,Chievo,5,1,H,2,1,H,18,9,11,3,5,3,2,2,1,0,0,0
17/18,21/01/18,Sampdoria,Fiorentina,3,1,H,1,0,H,14,12,10,5,5,16,7,4,1,2,0,0
17/18,21/01/18,Sassuolo,Torino,1,1,D,0,1,A,18,9,6,4,16,15,6,7,4,2,0,0
17/18,21/01/18,Udinese,Spal,1,1,D,1,0,H,6,14,1,4,23,12,5,7,2,3,0,0
17/18,21/01/18,Verona,Crotone,0,3,A,0,1,A,10,9,2,5,13,15,5,1,1,5,1,0
17/18,22/01/18,Juventus,Genoa,1,0,H,1,0,H,15,3,5,0,23,17,4,3,1,5,0,0
17/18,24/01/18,Lazio,Udinese,3,0,H,1,0,H,11,12,7,4,8,5,3,6,0,2,0,0
17/18,24/01/18,Sampdoria,Roma,1,1,D,1,0,H,13,20,3,4,10,12,6,7,1,3,0,0
17/18,27/01/18,Chievo,Juventus,0,2,A,0,0,D,1,16,1,7,9,11,2,4,2,2,2,0
17/18,27/01/18,Sassuolo,Atalanta,0,3,A,0,1,A,10,17,1,10,11,11,5,7,2,0,1,0
17/18,28/01/18,Crotone,Cagliari,1,1,D,1,1,D,13,6,6,3,18,15,9,4,2,2,0,1
17/18,28/01/18,Fiorentina,Verona,1,4,A,0,2,A,28,8,6,5,13,16,11,3,3,4,0,0
17/18,28/01/18,Genoa,Udinese,0,1,A,0,0,D,19,6,2,1,11,17,10,3,2,0,0,1
17/18,28/01/18,Milan,Lazio,2,1,H,2,1,H,11,13,5,4,8,14,4,3,2,6,0,0
